;KodTeryt;Powiat;SalonIndeks
0;201000;Powiat bolesławiecki;11
1;202000;Powiat dzierżoniowski;10
2;203000;Powiat głogowski;9
3;204000;Powiat górowski;4
4;205000;Powiat jaworski;10
5;206000;Powiat karkonoski;6
6;207000;Powiat kamiennogórski;5
7;208000;Powiat kłodzki;11
8;209000;Powiat legnicki;9
9;210000;Powiat lubański;5
10;211000;Powiat lubiński;53
11;212000;Powiat lwówecki;6
12;213000;Powiat milicki;3
13;214000;Powiat oleśnicki;10
14;215000;Powiat oławski;11
15;216000;Powiat polkowicki;17
16;217000;Powiat strzeliński;12
17;218000;Powiat średzki;14
18;219000;Powiat świdnicki;15
19;220000;Powiat trzebnicki;9
20;221000;Powiat wałbrzyski;4
21;222000;Powiat wołowski;20
22;223000;Powiat wrocławski;23
23;224000;Powiat ząbkowicki;6
24;225000;Powiat zgorzelecki;11
25;226000;Powiat złotoryjski;12
26;261000;Powiat m.Jelenia Góra;14
27;262000;Powiat m.Legnica;12
28;264000;Powiat m.Wrocław;50
29;265000;Powiat m.Wałbrzych od 2013;18
30;401000;Powiat aleksandrowski;2
31;402000;Powiat brodnicki;4
32;403000;Powiat bydgoski;14
33;404000;Powiat chełmiński;6
34;405000;Powiat golubsko-dobrzyński;11
35;406000;Powiat grudziądzki;7
36;407000;Powiat inowrocławski;11
37;408000;Powiat lipnowski;1
38;409000;Powiat mogileński;3
39;410000;Powiat nakielski;6
40;411000;Powiat radziejowski;3
41;412000;Powiat rypiński;2
42;413000;Powiat sępoleński;4
43;414000;Powiat świecki;12
44;415000;Powiat toruński;9
45;416000;Powiat tucholski;3
46;417000;Powiat wąbrzeski;7
47;418000;Powiat włocławski;6
48;419000;Powiat żniński;4
49;461000;Powiat m.Bydgoszcz;23
50;462000;Powiat m.Grudziądz;7
51;463000;Powiat m.Toruń;22
52;464000;Powiat m.Włocławek;12
53;601000;Powiat bialski;5
54;602000;Powiat biłgorajski;8
55;603000;Powiat chełmski;4
56;604000;Powiat hrubieszowski;6
57;605000;Powiat janowski;4
58;606000;Powiat krasnostawski;6
59;607000;Powiat kraśnicki;4
60;608000;Powiat lubartowski;6
61;609000;Powiat lubelski;8
62;610000;Powiat łęczyński;25
63;611000;Powiat łukowski;4
64;612000;Powiat opolski;3
65;613000;Powiat parczewski;5
66;614000;Powiat puławski;16
67;615000;Powiat radzyński;4
68;616000;Powiat rycki;4
69;617000;Powiat świdnicki;12
70;618000;Powiat tomaszowski;6
71;619000;Powiat włodawski;4
72;620000;Powiat zamojski;4
73;661000;Powiat m.Biała Podlaska;6
74;662000;Powiat m.Chełm;6
75;663000;Powiat m.Lublin;26
76;664000;Powiat m.Zamość;12
77;801000;Powiat gorzowski;13
78;802000;Powiat krośnieński;9
79;803000;Powiat międzyrzecki;6
80;804000;Powiat nowosolski;9
81;805000;Powiat słubicki;6
82;806000;Powiat strzelecko-drezdenecki;6
83;807000;Powiat sulęciński;3
84;808000;Powiat świebodziński;8
85;809000;Powiat zielonogórski;14
86;810000;Powiat żagański;6
87;811000;Powiat żarski;14
88;812000;Powiat wschowski;4
89;861000;Powiat m.Gorzów Wielkopolski;12
90;862000;Powiat m.Zielona Góra;17
91;1001000;Powiat bełchatowski;36
92;1002000;Powiat kutnowski;9
93;1003000;Powiat łaski;2
94;1004000;Powiat łęczycki;8
95;1005000;Powiat łowicki;6
96;1006000;Powiat łódzki wschodni;6
97;1007000;Powiat opoczyński;5
98;1008000;Powiat pabianicki;9
99;1009000;Powiat pajęczański;7
100;1010000;Powiat piotrkowski;4
101;1011000;Powiat poddębicki;17
102;1012000;Powiat radomszczański;5
103;1013000;Powiat rawski;6
104;1014000;Powiat sieradzki;10
105;1015000;Powiat skierniewicki;5
106;1016000;Powiat tomaszowski;8
107;1017000;Powiat wieluński;5
108;1018000;Powiat wieruszowski;2
109;1019000;Powiat zduńskowolski;6
110;1020000;Powiat zgierski;15
111;1021000;Powiat brzeziński;1
112;1061000;Powiat m.Łódź;34
113;1062000;Powiat m.Piotrków Trybunalski;5
114;1063000;Powiat m.Skierniewice;8
