;KodTeryt;Powiat;WypozyczalniaIndeks
0;201000;Powiat bolesławiecki;8
1;202000;Powiat dzierżoniowski;9
2;203000;Powiat głogowski;4
3;204000;Powiat górowski;0
4;205000;Powiat jaworski;3
5;206000;Powiat karkonoski;56
6;207000;Powiat kamiennogórski;3
7;208000;Powiat kłodzki;39
8;209000;Powiat legnicki;3
9;210000;Powiat lubański;11
10;211000;Powiat lubiński;6
11;212000;Powiat lwówecki;3
12;213000;Powiat milicki;2
13;214000;Powiat oleśnicki;5
14;215000;Powiat oławski;3
15;216000;Powiat polkowicki;2
16;217000;Powiat strzeliński;0
17;218000;Powiat średzki;3
18;219000;Powiat świdnicki;9
19;220000;Powiat trzebnicki;7
20;221000;Powiat wałbrzyski;9
21;222000;Powiat wołowski;4
22;223000;Powiat wrocławski;8
23;224000;Powiat ząbkowicki;2
24;225000;Powiat zgorzelecki;7
25;226000;Powiat złotoryjski;1
26;261000;Powiat m.Jelenia Góra;10
27;262000;Powiat m.Legnica;5
28;264000;Powiat m.Wrocław;49
29;265000;Powiat m.Wałbrzych od 2013;4
30;401000;Powiat aleksandrowski;13
31;402000;Powiat brodnicki;6
32;403000;Powiat bydgoski;18
33;404000;Powiat chełmiński;4
34;405000;Powiat golubsko-dobrzyński;4
35;406000;Powiat grudziądzki;3
36;407000;Powiat inowrocławski;11
37;408000;Powiat lipnowski;2
38;409000;Powiat mogileński;2
39;410000;Powiat nakielski;4
40;411000;Powiat radziejowski;2
41;412000;Powiat rypiński;1
42;413000;Powiat sępoleński;4
43;414000;Powiat świecki;9
44;415000;Powiat toruński;15
45;416000;Powiat tucholski;8
46;417000;Powiat wąbrzeski;3
47;418000;Powiat włocławski;6
48;419000;Powiat żniński;5
49;461000;Powiat m.Bydgoszcz;16
50;462000;Powiat m.Grudziądz;7
51;463000;Powiat m.Toruń;21
52;464000;Powiat m.Włocławek;8
53;601000;Powiat bialski;8
54;602000;Powiat biłgorajski;7
55;603000;Powiat chełmski;3
56;604000;Powiat hrubieszowski;4
57;605000;Powiat janowski;2
58;606000;Powiat krasnostawski;1
59;607000;Powiat kraśnicki;2
60;608000;Powiat lubartowski;9
61;609000;Powiat lubelski;14
62;610000;Powiat łęczyński;4
63;611000;Powiat łukowski;3
64;612000;Powiat opolski;2
65;613000;Powiat parczewski;4
66;614000;Powiat puławski;17
67;615000;Powiat radzyński;2
68;616000;Powiat rycki;3
69;617000;Powiat świdnicki;5
70;618000;Powiat tomaszowski;10
71;619000;Powiat włodawski;12
72;620000;Powiat zamojski;13
73;661000;Powiat m.Biała Podlaska;4
74;662000;Powiat m.Chełm;3
75;663000;Powiat m.Lublin;26
76;664000;Powiat m.Zamość;8
77;801000;Powiat gorzowski;9
78;802000;Powiat krośnieński;7
79;803000;Powiat międzyrzecki;8
80;804000;Powiat nowosolski;9
81;805000;Powiat słubicki;8
82;806000;Powiat strzelecko-drezdenecki;6
83;807000;Powiat sulęciński;7
84;808000;Powiat świebodziński;11
85;809000;Powiat zielonogórski;11
86;810000;Powiat żagański;3
87;811000;Powiat żarski;8
88;812000;Powiat wschowski;6
89;861000;Powiat m.Gorzów Wielkopolski;7
90;862000;Powiat m.Zielona Góra;11
91;1001000;Powiat bełchatowski;14
92;1002000;Powiat kutnowski;4
93;1003000;Powiat łaski;3
94;1004000;Powiat łęczycki;1
95;1005000;Powiat łowicki;2
96;1006000;Powiat łódzki wschodni;5
97;1007000;Powiat opoczyński;3
98;1008000;Powiat pabianicki;5
99;1009000;Powiat pajęczański;6
100;1010000;Powiat piotrkowski;4
101;1011000;Powiat poddębicki;5
102;1012000;Powiat radomszczański;3
103;1013000;Powiat rawski;3
104;1014000;Powiat sieradzki;5
105;1015000;Powiat skierniewicki;3
106;1016000;Powiat tomaszowski;10
107;1017000;Powiat wieluński;5
108;1018000;Powiat wieruszowski;3
109;1019000;Powiat zduńskowolski;7
110;1020000;Powiat zgierski;6
111;1021000;Powiat brzeziński;1
112;1061000;Powiat m.Łódź;25
113;1062000;Powiat m.Piotrków Trybunalski;4
114;1063000;Powiat m.Skierniewice;3
115;1201000;Powiat bocheński;4
116;1202000;Powiat brzeski;4
117;1203000;Powiat chrzanowski;2
118;1204000;Powiat dąbrowski;1
119;1205000;Powiat gorlicki;7
120;1206000;Powiat krakowski;8
121;1207000;Powiat limanowski;5
122;1208000;Powiat miechowski;2
123;1209000;Powiat myślenicki;4
124;1210000;Powiat nowosądecki;31
125;1211000;Powiat nowotarski;43
126;1212000;Powiat olkuski;2
127;1213000;Powiat oświęcimski;7
128;1214000;Powiat proszowicki;1
129;1215000;Powiat suski;6
130;1216000;Powiat tarnowski;7
131;1217000;Powiat tatrzański;89
132;1218000;Powiat wadowicki;5
133;1219000;Powiat wielicki;5
134;1261000;Powiat m.Kraków;65
135;1262000;Powiat m.Nowy Sącz;3
136;1263000;Powiat m.Tarnów;9
137;1401000;Powiat białobrzeski;2
138;1402000;Powiat ciechanowski;7
139;1403000;Powiat garwoliński;3
140;1404000;Powiat gostyniński;3
141;1405000;Powiat grodziski;5
142;1406000;Powiat grójecki;5
143;1407000;Powiat kozienicki;4
144;1408000;Powiat legionowski;12
145;1409000;Powiat lipski;0
146;1410000;Powiat łosicki;2
147;1411000;Powiat makowski;1
148;1412000;Powiat miński;6
149;1413000;Powiat mławski;3
150;1414000;Powiat nowodworski;9
151;1415000;Powiat ostrołęcki;22
152;1416000;Powiat ostrowski;3
153;1417000;Powiat otwocki;9
154;1418000;Powiat piaseczyński;10
155;1419000;Powiat płocki;7
156;1420000;Powiat płoński;3
157;1421000;Powiat pruszkowski;17
158;1422000;Powiat przasnyski;7
159;1423000;Powiat przysuski;1
160;1424000;Powiat pułtuski;1
161;1425000;Powiat radomski;4
162;1426000;Powiat siedlecki;3
163;1427000;Powiat sierpecki;1
164;1428000;Powiat sochaczewski;4
165;1429000;Powiat sokołowski;5
166;1430000;Powiat szydłowiecki;2
167;1432000;Powiat warszawski zachodni;12
168;1433000;Powiat węgrowski;3
169;1434000;Powiat wołomiński;13
170;1435000;Powiat wyszkowski;8
171;1436000;Powiat zwoleński;0
172;1437000;Powiat żuromiński;3
173;1438000;Powiat żyrardowski;6
174;1461000;Powiat m.Ostrołęka;3
175;1462000;Powiat m.Płock;8
176;1463000;Powiat m.Radom;11
177;1464000;Powiat m.Siedlce;5
178;1465000;Powiat m. st. Warszawa;89
179;1601000;Powiat brzeski;3
180;1602000;Powiat głubczycki;1
181;1603000;Powiat kędzierzyńsko-kozielski;7
182;1604000;Powiat kluczborski;3
183;1605000;Powiat krapkowicki;3
184;1606000;Powiat namysłowski;4
185;1607000;Powiat nyski;12
186;1608000;Powiat oleski;7
187;1609000;Powiat opolski;10
188;1610000;Powiat prudnicki;5
189;1611000;Powiat strzelecki;4
190;1661000;Powiat m.Opole;12
191;1801000;Powiat bieszczadzki;13
192;1802000;Powiat brzozowski;1
193;1803000;Powiat dębicki;6
194;1804000;Powiat jarosławski;5
195;1805000;Powiat jasielski;3
196;1806000;Powiat kolbuszowski;1
197;1807000;Powiat krośnieński;10
198;1808000;Powiat leżajski;3
199;1809000;Powiat lubaczowski;5
200;1810000;Powiat łańcucki;3
201;1811000;Powiat mielecki;8
202;1812000;Powiat niżański;6
203;1813000;Powiat przemyski;2
204;1814000;Powiat przeworski;1
205;1815000;Powiat ropczycko-sędziszowski;2
206;1816000;Powiat rzeszowski;9
207;1817000;Powiat sanocki;6
208;1818000;Powiat stalowowolski;10
209;1819000;Powiat strzyżowski;2
210;1820000;Powiat tarnobrzeski;3
211;1821000;Powiat leski;30
212;1861000;Powiat m.Krosno;4
213;1862000;Powiat m.Przemyśl;6
214;1863000;Powiat m.Rzeszów;22
215;1864000;Powiat m.Tarnobrzeg;4
216;2001000;Powiat augustowski;13
217;2002000;Powiat białostocki;17
218;2003000;Powiat bielski;3
219;2004000;Powiat grajewski;2
220;2005000;Powiat hajnowski;10
221;2006000;Powiat kolneński;1
222;2007000;Powiat łomżyński;4
223;2008000;Powiat moniecki;2
224;2009000;Powiat sejneński;4
225;2010000;Powiat siemiatycki;5
226;2011000;Powiat sokólski;3
227;2012000;Powiat suwalski;7
228;2013000;Powiat wysokomazowiecki;4
229;2014000;Powiat zambrowski;2
230;2061000;Powiat m.Białystok;19
231;2062000;Powiat m.Łomża;4
232;2063000;Powiat m.Suwałki;10
233;2201000;Powiat bytowski;9
234;2202000;Powiat chojnicki;25
235;2203000;Powiat człuchowski;7
236;2204000;Powiat gdański;12
237;2205000;Powiat kartuski;19
238;2206000;Powiat kościerski;13
239;2207000;Powiat kwidzyński;7
240;2208000;Powiat lęborski;32
241;2209000;Powiat malborski;7
242;2210000;Powiat nowodworski;33
243;2211000;Powiat pucki;100
244;2212000;Powiat słupski;32
245;2213000;Powiat starogardzki;9
246;2214000;Powiat tczewski;7
247;2215000;Powiat wejherowski;14
248;2216000;Powiat sztumski;3
249;2261000;Powiat m.Gdańsk;49
250;2262000;Powiat m.Gdynia;12
251;2263000;Powiat m.Słupsk;6
252;2264000;Powiat m.Sopot;10
253;2401000;Powiat będziński;7
254;2402000;Powiat bielski;11
255;2403000;Powiat cieszyński;30
256;2404000;Powiat częstochowski;6
257;2405000;Powiat gliwicki;3
258;2406000;Powiat kłobucki;1
259;2407000;Powiat lubliniecki;9
260;2408000;Powiat mikołowski;1
261;2409000;Powiat myszkowski;4
262;2410000;Powiat pszczyński;4
263;2411000;Powiat raciborski;7
264;2412000;Powiat rybnicki;0
265;2413000;Powiat tarnogórski;4
266;2414000;Powiat bieruńsko-lędziński;4
267;2415000;Powiat wodzisławski;3
268;2416000;Powiat zawierciański;8
269;2417000;Powiat żywiecki;18
270;2461000;Powiat m.Bielsko-Biała;9
271;2462000;Powiat m.Bytom;4
272;2463000;Powiat m.Chorzów;4
273;2464000;Powiat m.Częstochowa;11
274;2465000;Powiat m.Dąbrowa Górnicza;5
275;2466000;Powiat m.Gliwice;7
276;2467000;Powiat m.Jastrzębie-Zdrój;3
277;2468000;Powiat m.Jaworzno;3
278;2469000;Powiat m.Katowice;13
279;2470000;Powiat m.Mysłowice;0
280;2471000;Powiat m.Piekary Śląskie;2
281;2472000;Powiat m.Ruda Śląska;3
282;2473000;Powiat m.Rybnik;3
283;2474000;Powiat m.Siemianowice Śląskie;3
284;2475000;Powiat m.Sosnowiec;5
285;2476000;Powiat m.Świętochłowice;1
286;2477000;Powiat m.Tychy;7
287;2478000;Powiat m.Zabrze;4
288;2479000;Powiat m.Żory;3
